comment,"NaturalPoint Trackable Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: Comment, you can ignore this information"
comment,"== info: reports number of trackable definitions and"
comment,"==       total number of exported frames"
comment,"== trackable: Details rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Trackable Count (integer) number of trackables tracked in current frame"
comment,"==    -- Trackable ID, Position, Quaternion Orientation, and Eulers Orientation >for each tracked trackable< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visibile markers in frame"
comment,"==    -- Marker Detail >for each tracked marker< (x,y,z,id)"
comment,"== trackable: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Trackable Marker Location >for each marker in trackable< (x,y,z)"
comment,"==    -- Point Cloud Marker corresponding to each trackable marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,framecount,179
info,trackablecount,0
frame,19,0.19245367,0,3,0.24120957,0.05355370,0.29107821,0,0.05203853,0.08193643,-0.00114030,0,0.11437594,0.31680197,0.31426066,0
frame,20,0.20248090,0,3,0.24099605,0.05320156,0.28780329,0,0.05339941,0.08206244,-0.00450939,0,0.11428037,0.31687063,0.31400585,0
frame,21,0.21246300,0,3,0.24055879,0.05282671,0.28425461,0,0.05447473,0.08201958,-0.00828425,0,0.11419649,0.31691420,0.31375131,0
frame,22,0.22247023,0,3,0.24004090,0.05233495,0.28039551,0,0.05496504,0.08157931,-0.01206809,0,0.11412559,0.31689247,0.31345427,0
frame,23,0.23247724,0,3,0.23938529,0.05179866,0.27622879,0,0.05472287,0.08083040,-0.01590477,0,0.11406362,0.31673560,0.31313160,0
frame,24,0.24246862,0,3,0.23854885,0.05122806,0.27190641,0,0.05379824,0.07993282,-0.01969455,0,0.11409891,0.31649750,0.31261617,0
frame,25,0.25246392,0,3,0.23760125,0.05064742,0.26735634,0,0.05237534,0.07897996,-0.02363010,0,0.11414959,0.31613591,0.31214502,0
frame,26,0.26248428,0,3,0.23658168,0.04996512,0.26268840,0,0.05062501,0.07801349,-0.02753524,0,0.11426058,0.31570390,0.31154221,0
frame,27,0.27248140,0,3,0.23548174,0.04931266,0.25785863,0,0.04889149,0.07709236,-0.03159390,0,0.11442440,0.31524298,0.31084657,0
frame,28,0.28248191,0,3,0.23435757,0.04862102,0.25285786,0,0.04733893,0.07617770,-0.03572444,0,0.11460024,0.31471348,0.31022090,0
frame,29,0.29241647,0,3,0.23314671,0.04786976,0.24785584,0,0.04617269,0.07552651,-0.04021180,0,0.11473833,0.31413150,0.30955482,0
frame,30,0.30248302,0,3,0.23188537,0.04715970,0.24271570,0,0.04523895,0.07490490,-0.04476677,0,0.11489912,0.31363103,0.30879998,0
frame,31,0.31247538,0,3,0.23056394,0.04629400,0.23763350,0,0.04456064,0.07441880,-0.04961411,0,0.11509520,0.31310612,0.30801079,0
frame,32,0.32248019,0,3,0.22918686,0.04558378,0.23242313,0,0.04367394,0.07371201,-0.05432562,0,0.11527137,0.31255665,0.30708334,0
frame,33,0.33247414,0,3,0.22773145,0.04482879,0.22730863,0,0.04248803,0.07293686,-0.05901275,0,0.11549091,0.31209138,0.30602100,0
