Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.534000   -0.04   -0.02    0.04
0.535000   -0.03   -0.01    0.04
0.536000   -0.02   -0.01    0.04
0.537000   -0.02   -0.00    0.05
0.538000   -0.03    0.01    0.06
0.539000   -0.04    0.01    0.07
0.540000   -0.04    0.02    0.08
0.541000   -0.04    0.02    0.09
0.542000   -0.04    0.03    0.09
0.543000   -0.04    0.03    0.09
0.544000   -0.05    0.04    0.10
0.545000   -0.06    0.04    0.11
0.546000   -0.07    0.04    0.12
0.547000   -0.08    0.04    0.13
0.548000   -0.08    0.04    0.14
0.549000   -0.07    0.06    0.15
0.550000   -0.08    0.05    0.14
0.551000   -0.07    0.05    0.14
0.552000   -0.07    0.05    0.14
0.553000   -0.07    0.05    0.13
0.554000   -0.06    0.05    0.13
0.555000   -0.04    0.07    0.13
0.556000   -0.04    0.07    0.13
0.557000   -0.04    0.07    0.13
0.558000   -0.04    0.07    0.13
0.559000   -0.06    0.06    0.13
0.560000   -0.06    0.06    0.13
0.561000   -0.06    0.06    0.13
0.562000   -0.06    0.06    0.13
0.563000   -0.07    0.05    0.13
0.564000   -0.08    0.03    0.12
0.565000   -0.08    0.02    0.11
0.566000   -0.08    0.01    0.11
0.567000   -0.08   -0.00    0.09
0.568000   -0.08   -0.01    0.08
0.569000   -0.06   -0.01    0.07
0.570000   -0.07   -0.03    0.06
0.571000   -0.07   -0.02    0.06
0.572000   -0.06   -0.01    0.07
0.573000   -0.06   -0.01    0.07
0.574000   -0.05    0.00    0.07
0.575000   -0.04    0.00    0.07
0.576000   -0.03    0.00    0.06
0.577000   -0.03    0.00    0.05
0.578000   -0.02    0.00    0.05
0.579000   -0.04    0.00    0.05
0.580000   -0.03    0.00    0.06
0.581000   -0.03    0.01    0.06
0.582000   -0.04    0.02    0.08
0.583000   -0.06    0.04    0.11
0.584000   -0.07    0.05    0.14
0.585000   -0.08    0.05    0.16
0.586000   -0.08    0.06    0.16
0.587000   -0.08    0.07    0.16
0.588000   -0.07    0.07    0.16
0.589000   -0.06    0.07    0.15
0.590000   -0.05    0.06    0.14
0.591000   -0.05    0.05    0.12
0.592000   -0.04    0.05    0.11
0.593000   -0.04    0.05    0.12
0.594000   -0.04    0.06    0.13
0.595000   -0.04    0.07    0.14
0.596000   -0.05    0.08    0.15
