Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.315000   -0.05    0.05    0.13
0.316000   -0.06    0.06    0.13
0.317000   -0.07    0.05    0.13
0.318000   -0.08    0.03    0.13
0.319000   -0.09    0.02    0.13
0.320000   -0.09    0.01    0.13
0.321000   -0.10   -0.00    0.12
0.322000   -0.10    0.00    0.11
0.323000   -0.09    0.01    0.12
0.324000   -0.09    0.02    0.12
0.325000   -0.10    0.02    0.13
0.326000   -0.11    0.01    0.13
0.327000   -0.13   -0.01    0.13
0.328000   -0.14   -0.03    0.13
0.329000   -0.15   -0.05    0.13
0.330000   -0.17   -0.07    0.12
0.331000   -0.17   -0.08    0.10
0.332000   -0.16   -0.09    0.09
0.333000   -0.15   -0.09    0.08
0.334000   -0.11   -0.06    0.07
0.335000   -0.05   -0.00    0.07
0.336000    0.01    0.06    0.06
0.337000    0.07    0.12    0.07
0.338000    0.10    0.17    0.07
0.339000    0.15    0.21    0.07
0.340000    0.21    0.26    0.06
0.341000    0.26    0.31    0.05
0.342000    0.30    0.33    0.04
0.343000    0.36    0.37    0.02
0.344000    0.41    0.41    0.00
0.345000    0.47    0.45   -0.02
0.346000    0.53    0.51   -0.03
0.347000    0.61    0.57   -0.03
0.348000    0.67    0.64   -0.03
0.349000    0.71    0.70   -0.01
0.350000    0.74    0.76    0.02
0.351000    0.78    0.83    0.05
0.352000    0.82    0.92    0.10
0.353000    0.85    1.01    0.16
0.354000    0.87    1.10    0.23
0.355000    0.88    1.18    0.30
0.356000    0.88    1.26    0.37
0.357000    0.89    1.33    0.43
0.358000    0.89    1.36    0.47
0.359000    0.86    1.38    0.51
0.360000    0.84    1.40    0.55
0.361000    0.79    1.40    0.60
0.362000    0.71    1.37    0.66
0.363000    0.61    1.33    0.72
0.364000    0.47    1.26    0.79
0.365000    0.32    1.18    0.85
0.366000    0.19    1.11    0.91
0.367000    0.08    1.05    0.97
0.368000   -0.01    1.00    1.01
0.369000   -0.10    0.93    1.03
0.370000   -0.18    0.85    1.03
0.371000   -0.26    0.76    1.03
0.372000   -0.34    0.68    1.02
0.373000   -0.40    0.61    1.01
0.374000   -0.46    0.54    1.00
0.375000   -0.51    0.48    0.99
0.376000   -0.56    0.42    0.98
0.377000   -0.59    0.38    0.97
0.378000   -0.64    0.33    0.97
0.379000   -0.67    0.29    0.97
0.380000   -0.71    0.25    0.96
0.381000   -0.73    0.21    0.95
0.382000   -0.74    0.18    0.93
0.383000   -0.76    0.15    0.92
0.384000   -0.79    0.11    0.90
0.385000   -0.80    0.08    0.88
0.386000   -0.80    0.06    0.86
0.387000   -0.79    0.03    0.84
0.388000   -0.79   -0.00    0.80
0.389000   -0.78   -0.03    0.76
0.390000   -0.77   -0.07    0.71
0.391000   -0.76   -0.11    0.67
0.392000   -0.76   -0.15    0.63
0.393000   -0.76   -0.18    0.59
0.394000   -0.73   -0.20    0.55
0.395000   -0.71   -0.22    0.51
0.396000   -0.70   -0.24    0.47
0.397000   -0.68   -0.27    0.43
0.398000   -0.67   -0.29    0.40
0.399000   -0.65   -0.29    0.37
0.400000   -0.63   -0.29    0.35
0.401000   -0.61   -0.29    0.33
0.402000   -0.59   -0.29    0.31
0.403000   -0.56   -0.30    0.29
0.404000   -0.55   -0.30    0.26
0.405000   -0.52   -0.29    0.24
0.406000   -0.48   -0.27    0.22
0.407000   -0.43   -0.24    0.19
0.408000   -0.38   -0.22    0.17
0.409000   -0.34   -0.21    0.14
0.410000   -0.31   -0.20    0.12
0.411000   -0.29   -0.19    0.11
0.412000   -0.28   -0.19    0.10
0.413000   -0.26   -0.18    0.09
0.414000   -0.23   -0.17    0.08
0.415000   -0.21   -0.16    0.07
0.416000   -0.20   -0.14    0.07
0.417000   -0.18   -0.13    0.06
0.418000   -0.15   -0.11    0.06
0.419000   -0.12   -0.08    0.05
0.420000   -0.10   -0.06    0.05
0.421000   -0.09   -0.05    0.05
0.422000   -0.08   -0.05    0.04
0.423000   -0.06   -0.04    0.03
0.424000   -0.06   -0.05    0.02
0.425000   -0.05   -0.05    0.01
0.426000   -0.07   -0.07    0.02
0.427000   -0.07   -0.07    0.02
0.428000   -0.07   -0.07    0.02
0.429000   -0.07   -0.08    0.01
0.430000   -0.07   -0.09    0.01
0.431000   -0.08   -0.09    0.01
0.432000   -0.08   -0.09    0.01
0.433000   -0.06   -0.07    0.00
0.434000   -0.03   -0.04    0.01
0.435000   -0.02   -0.02    0.02
0.436000    0.00    0.00    0.02
0.437000    0.01    0.01    0.02
0.438000    0.01    0.02    0.03
0.439000    0.02    0.03    0.03
0.440000    0.03    0.04    0.02
0.441000    0.04    0.05    0.02
0.442000    0.04    0.04    0.01
0.443000    0.04    0.04    0.00
0.444000    0.03    0.02    0.00
0.445000    0.03    0.01    0.00
0.446000    0.02    0.01    0.00
0.447000    0.01   -0.01    0.00
0.448000   -0.01   -0.03   -0.01
0.449000   -0.01   -0.04   -0.01
0.450000   -0.01   -0.03   -0.01
0.451000   -0.00   -0.02   -0.01
0.452000    0.01   -0.02   -0.01
0.453000    0.02    0.00   -0.01
0.454000    0.03    0.01   -0.00
0.455000    0.03    0.01   -0.00
0.456000    0.04    0.02   -0.00
0.457000    0.04    0.02   -0.00
0.458000    0.04    0.02    0.00
0.459000    0.03    0.02    0.00
0.460000    0.02    0.01    0.00
0.461000    0.01    0.00    0.00
