comment,"NaturalPoint Trackable Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: Comment, you can ignore this information"
comment,"== info: reports number of trackable definitions and"
comment,"==       total number of exported frames"
comment,"== trackable: Details rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Trackable Count (integer) number of trackables tracked in current frame"
comment,"==    -- Trackable ID, Position, Quaternion Orientation, and Eulers Orientation >for each tracked trackable< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visibile markers in frame"
comment,"==    -- Marker Detail >for each tracked marker< (x,y,z,id)"
comment,"== trackable: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Trackable Marker Location >for each marker in trackable< (x,y,z)"
comment,"==    -- Point Cloud Marker corresponding to each trackable marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,framecount,6853
info,trackablecount,0
frame,20,0.20779026,0,5,0.42846045,0.35266286,-0.27578223,0,0.44252881,0.53548968,-0.41966218,0,0.46729994,0.75148594,-0.33652446,0,0.37049991,0.01695948,-0.29883358,0,0.37874299,0.13705900,-0.14362246,0
frame,21,0.21782914,0,5,0.42787051,0.34806165,-0.28234786,0,0.44173354,0.53609931,-0.42031097,0,0.46710363,0.75221336,-0.33659568,0,0.37084484,0.01410327,-0.31853575,0,0.37786663,0.12730400,-0.15827744,0
frame,22,0.22781800,0,5,0.42739481,0.34273499,-0.28904378,0,0.44105488,0.53620821,-0.42055255,0,0.46717992,0.75278670,-0.33631355,0,0.37082973,0.01180119,-0.33817121,0,0.37700066,0.11767300,-0.17325822,0
frame,23,0.23782900,0,5,0.42707533,0.33706871,-0.29582322,0,0.44052309,0.53589565,-0.42043796,0,0.46746635,0.75321966,-0.33579037,0,0.37021881,0.00988892,-0.35804000,0,0.37646872,0.10823681,-0.18845144,0
frame,24,0.24781435,0,5,0.42702064,0.33122584,-0.30247691,0,0.44005576,0.53508729,-0.41987914,0,0.46783742,0.75347102,-0.33509472,0,0.36922148,0.00830134,-0.37808999,0,0.37574545,0.09833372,-0.20430942,0
frame,25,0.25792826,0,5,0.42702842,0.32522684,-0.30908492,0,0.43954620,0.53390068,-0.41887420,0,0.46826321,0.75352001,-0.33421224,0,0.36783999,0.00710470,-0.39770609,0,0.37530383,0.08881304,-0.22031908,0
frame,26,0.26792752,0,5,0.42698866,0.31943256,-0.31545618,0,0.43928808,0.53249794,-0.41727448,0,0.46873513,0.75336683,-0.33300325,0,0.36600745,0.00608072,-0.41700625,0,0.37510148,0.07953943,-0.23640597,0
frame,27,0.27779514,0,5,0.42713356,0.31372198,-0.32157558,0,0.43888846,0.53089273,-0.41513675,0,0.46919745,0.75308025,-0.33158877,0,0.36342567,0.00498991,-0.43621475,0,0.37498942,0.07063515,-0.25264797,0
frame,28,0.28796397,0,5,0.42715359,0.30822331,-0.32746631,0,0.43852100,0.52918655,-0.41255689,0,0.46952862,0.75257713,-0.33013475,0,0.36099267,0.00448989,-0.45471835,0,0.37499049,0.06213049,-0.26883006,0
frame,29,0.29806772,0,5,0.42744118,0.30295947,-0.33300292,0,0.43840727,0.52726132,-0.40970483,0,0.47012067,0.75183427,-0.32820034,0,0.35828108,0.00443182,-0.47245067,0,0.37488490,0.05422290,-0.28488499,0
frame,30,0.30790651,0,5,0.42784238,0.29786515,-0.33849636,0,0.43834370,0.52503622,-0.40675306,0,0.47074574,0.75089544,-0.32649541,0,0.35507283,0.00438325,-0.48951036,0,0.37499636,0.04730076,-0.30030203,0
frame,31,0.31804623,0,5,0.42832765,0.29313964,-0.34371233,0,0.43830866,0.52278048,-0.40372148,0,0.47146511,0.74981099,-0.32461542,0,0.35236922,0.00471054,-0.50483936,0,0.37484699,0.04094328,-0.31502494,0
frame,32,0.32789391,0,5,0.42892832,0.28892374,-0.34849581,0,0.43833417,0.52047032,-0.40075731,0,0.47250161,0.74853247,-0.32277864,0,0.34930563,0.00477733,-0.51863909,0,0.37545496,0.03639353,-0.32801515,0
frame,33,0.33800877,0,5,0.42954332,0.28537610,-0.35258165,0,0.43818551,0.51816428,-0.39803809,0,0.47353172,0.74715149,-0.32114705,0,0.34645933,0.00454318,-0.53048670,0,0.37580344,0.03235144,-0.33947545,0
frame,34,0.34804021,0,5,0.43010527,0.28239208,-0.35580340,0,0.43832365,0.51608610,-0.39518946,0,0.47483200,0.74564159,-0.31960315,0,0.34409061,0.00408667,-0.54020631,0,0.37627572,0.02877120,-0.34935766,0
frame,35,0.35788850,0,5,0.43065643,0.27985352,-0.35801286,0,0.43850660,0.51410246,-0.39252910,0,0.47610044,0.74400640,-0.31837565,0,0.34208989,0.00312930,-0.54797447,0,0.37654847,0.02563088,-0.35738930,0
frame,36,0.36785692,0,5,0.43103409,0.27761617,-0.35933021,0,0.43846315,0.51197135,-0.39011136,0,0.47744694,0.74244183,-0.31741539,0,0.34067282,0.00158348,-0.55345064,0,0.37711370,0.02351436,-0.36291650,0
frame,37,0.37792462,0,5,0.43136302,0.27554125,-0.35974342,0,0.43856865,0.50985861,-0.38757259,0,0.47881207,0.74066776,-0.31662789,0,0.33963433,-0.00068669,-0.55685580,0,0.37721765,0.02150098,-0.36616525,0
frame,38,0.38789712,0,5,0.43154106,0.27334708,-0.35918376,0,0.43863645,0.50771773,-0.38543025,0,0.47979006,0.73889577,-0.31608495,0,0.33912402,-0.00385997,-0.55780035,0,0.37708426,0.01938791,-0.36719614,0
frame,39,0.39788873,0,5,0.43142897,0.27100810,-0.35779685,0,0.43885303,0.50536215,-0.38322726,0,0.48056850,0.73707545,-0.31561095,0,0.33866465,-0.00838017,-0.55627376,0,0.37655732,0.01767862,-0.36537516,0
frame,40,0.40788799,0,5,0.43122739,0.26842615,-0.35534006,0,0.43926948,0.50274241,-0.38121313,0,0.48087630,0.73511940,-0.31556493,0,0.33815736,-0.01404500,-0.55253702,0,0.37561756,0.01568463,-0.36150217,0
frame,41,0.41793781,0,5,0.43078440,0.26547250,-0.35181886,0,0.43980879,0.49966875,-0.37925166,0,0.48084927,0.73293400,-0.31577939,0,0.33795291,-0.02004108,-0.54677087,0,0.37439334,0.01327318,-0.35584047,0
frame,42,0.42790774,0,5,0.43047899,0.26228601,-0.34701470,0,0.44050866,0.49620754,-0.37722319,0,0.48061219,0.73042798,-0.31616032,0,0.33693996,-0.02286208,-0.54137051,0,0.37434489,0.01089526,-0.34836683,0
